env	indid
1	per1540
1	per1541
1	per1542
1	per1543
0	per1544
1	per1545
0	per1546
0	per1547
0	per1548
0	per1549
0	per155
0	per1550
1	per1551
0	per1552
0	per1553
0	per1554
0	per1555
0	per1556
0	per1557
0	per1558
0	per1559
1	per156
1	per1560
0	per1561
0	per1562
0	per1563
1	per1564
0	per1565
0	per1566
1	per1567
1	per1568
0	per1569
0	per157
0	per1570
1	per1571
1	per1572
0	per1573
0	per1574
0	per1575
0	per1576
1	per1577
1	per1578
1	per1579
0	per158
1	per1580
1	per1581
0	per1582
0	per1583
1	per1584
0	per1585
1	per1586
1	per1587
0	per1588
0	per1589
0	per159
1	per1590
0	per1591
0	per1592
0	per1593
1	per1594
0	per1595
0	per1596
0	per1597
0	per1598
1	per1599
1	per16
1	per160
1	per1600
1	per1601
0	per1602
0	per1603
1	per1604
1	per1605
0	per1606
0	per1607
0	per1608
0	per1609
0	per161
1	per1610
0	per1611
1	per1612
0	per1613
1	per1614
0	per1615
1	per1616
0	per1617
0	per1618
1	per1619
0	per162
0	per1620
1	per1621
1	per1622
0	per1623
1	per1624
0	per1625
0	per1626
0	per1627
0	per1628
0	per1629
0	per163
0	per1630
0	per1631
1	per1632
0	per1633
1	per1634
1	per1635
0	per1636
1	per1637
1	per1638
0	per1639
1	per164
0	per1640
0	per1641
0	per1642
0	per1643
0	per1644
1	per1645
0	per1646
0	per1647
0	per1648
1	per1649
0	per165
0	per1650
1	per1651
1	per1652
0	per1653
1	per1654
1	per1655
1	per1656
1	per1657
1	per1658
1	per1659
1	per166
1	per1660
1	per1661
1	per1662
0	per1663
0	per1664
1	per1665
1	per1666
1	per1667
1	per1668
0	per1669
0	per167
0	per1670
0	per1671
0	per1672
0	per1673
0	per1674
1	per1675
0	per1676
0	per1677
0	per1678
0	per1679
1	per168
1	per1680
1	per1681
0	per1682
1	per1683
0	per1684
0	per1685
0	per1686
1	per1687
0	per1688
1	per1689
1	per169
1	per1690
1	per1691
1	per1692
0	per1693
1	per1694
0	per1695
0	per1696
1	per1697
1	per1698
1	per1699
0	per17
0	per170
1	per1700
0	per1701
1	per1702
1	per1703
1	per1704
0	per1705
1	per1706
0	per1707
0	per1708
0	per1709
1	per171
1	per1710
1	per1711
0	per1712
0	per1713
0	per1714
1	per1715
1	per1716
1	per1717
0	per1718
1	per1719
0	per172
1	per1720
0	per1721
1	per1722
0	per1723
0	per1724
1	per1725
1	per1726
0	per1727
1	per1728
1	per1729
0	per173
0	per1730
0	per1731
0	per1732
0	per1733
0	per1734
1	per1735
0	per1736
0	per1737
1	per1738
0	per1739
0	per174
1	per1740
0	per1741
1	per1742
1	per1743
0	per1744
0	per1745
1	per1746
0	per1747
1	per1748
0	per1749
0	per175
1	per1750
1	per1751
0	per1752
0	per1753
0	per1754
0	per1755
1	per1756
0	per1757
0	per1758
1	per1759
1	per176
0	per1760
1	per1761
1	per1762
0	per1763
0	per1764
1	per1765
1	per1766
1	per1767
0	per1768
0	per1769
0	per177
0	per1770
0	per1771
1	per1772
0	per1773
0	per1774
1	per1775
1	per1776
0	per1777
0	per1778
0	per1779
1	per178
0	per1780
1	per1781
1	per1782
1	per1783
0	per1784
0	per1785
0	per1786
1	per1787
0	per1788
1	per1789
1	per179
1	per1790
1	per1791
1	per1792
0	per1793
0	per1794
1	per1795
1	per1796
1	per1797
0	per1798
0	per1799
0	per18
0	per180
0	per1800
1	per1801
1	per1802
0	per1803
1	per1804
0	per1805
0	per1806
1	per1807
0	per1808
1	per1809
1	per181
1	per1810
0	per1811
0	per1812
0	per1813
0	per1814
0	per1815
1	per1816
1	per1817
0	per1818
1	per1819
0	per182
0	per1820
1	per1821
1	per1822
0	per1823
1	per1824
0	per1825
0	per1826
1	per1827
1	per1828
1	per1829
1	per183
1	per1830
1	per1831
1	per1832
1	per1833
0	per1834
0	per1835
1	per1836
0	per1837
1	per1838
0	per1839
0	per184
0	per1840
0	per1841
1	per1842
1	per1843
1	per1844
1	per1845
0	per1846
1	per1847
1	per1848
1	per1849
1	per185
0	per1850
0	per1851
1	per1852
0	per1853
1	per1854
0	per1855
0	per1856
1	per1857
1	per1858
1	per1859
1	per186
0	per1860
0	per1861
0	per1862
1	per1863
1	per1864
0	per1865
1	per1866
1	per1867
1	per1868
1	per1869
1	per187
1	per1870
0	per1871
0	per1872
0	per1873
1	per1874
0	per1875
1	per1876
1	per1877
1	per1878
0	per1879
0	per188
1	per1880
1	per1881
1	per1882
0	per1883
0	per1884
1	per1885
0	per1886
0	per1887
0	per1888
0	per1889
1	per189
1	per1890
0	per1891
1	per1892
0	per1893
0	per1894
1	per1895
1	per1896
0	per1897
0	per1898
1	per1899
0	per19
1	per190
0	per1900
0	per1901
1	per1902
0	per1903
1	per1904
0	per1905
0	per1906
0	per1907
1	per1908
1	per1909
0	per191
1	per1910
1	per1911
1	per1912
1	per1913
1	per1914
1	per1915
1	per1916
0	per1917
0	per1918
0	per1919
0	per192
0	per1920
1	per1921
1	per1922
0	per1923
0	per1924
1	per1925
1	per1926
1	per1927
0	per1928
0	per1929
0	per193
1	per1930
1	per1931
1	per1932
0	per1933
0	per1934
0	per1935
0	per1936
0	per1937
1	per1938
0	per1939
0	per194
0	per1940
1	per1941
1	per1942
1	per1943
0	per1944
1	per1945
0	per1946
1	per1947
1	per1948
1	per1949
0	per195
0	per1950
0	per1951
0	per1952
0	per1953
1	per1954
1	per1955
1	per1956
1	per1957
1	per1958
0	per1959
0	per196
0	per1960
1	per1961
0	per1962
0	per1963
1	per1964
1	per1965
0	per1966
1	per1967
1	per1968
1	per1969
1	per197
1	per1970
1	per1971
1	per1972
1	per1973
1	per1974
0	per1975
1	per1976
0	per1977
1	per1978
0	per1979
1	per198
1	per1980
1	per1981
0	per1982
1	per1983
1	per1984
1	per1985
0	per1986
1	per1987
1	per1988
0	per1989
1	per199
0	per1990
1	per1991
0	per1992
1	per1993
0	per1994
1	per1995
1	per1996
0	per1997
0	per1998
0	per1999
1	per2
1	per20
1	per200
0	per201
0	per202
1	per203
1	per204
1	per205
0	per206
1	per207
1	per208
1	per209
0	per21
1	per210
0	per211
0	per212
1	per213
0	per214
0	per215
0	per216
1	per217
0	per218
1	per219
1	per22
1	per220
0	per221
0	per222
0	per223
0	per224
1	per225
0	per226
1	per227
0	per228
0	per229
1	per23
0	per230
0	per231
1	per232
1	per233
1	per234
0	per235
0	per236
1	per237
1	per238
1	per239
1	per24
0	per240
0	per241
1	per242
0	per243
0	per244
1	per245
1	per246
0	per247
1	per248
1	per249
1	per25
1	per250
1	per251
1	per252
1	per253
0	per254
1	per255
1	per256
0	per257
0	per258
1	per259
1	per26
1	per260
1	per261
1	per262
0	per263
0	per264
1	per265
1	per266
1	per267
1	per268
0	per269
0	per27
1	per270
0	per271
0	per272
0	per273
0	per274
0	per275
1	per276
1	per277
0	per278
0	per279
0	per28
0	per280
0	per281
1	per282
0	per283
0	per284
0	per285
0	per286
1	per287
0	per288
1	per289
0	per29
1	per290
1	per291
1	per292
0	per293
1	per294
0	per295
0	per296
0	per297
0	per298
0	per299
1	per3
1	per30
1	per300
1	per301
1	per302
1	per303
1	per304
1	per305
1	per306
0	per307
0	per308
1	per309
1	per31
1	per310
0	per311
1	per312
1	per313
0	per314
1	per315
0	per316
1	per317
0	per318
0	per319
1	per32
1	per320
1	per321
1	per322
0	per323
0	per324
1	per325
0	per326
0	per327
1	per328
1	per329
1	per33
1	per330
0	per331
0	per332
1	per333
0	per334
1	per335
1	per336
1	per337
1	per338
1	per339
0	per34
0	per340
1	per341
0	per342
0	per343
0	per344
0	per345
0	per346
0	per347
0	per348
0	per349
0	per35
0	per350
1	per351
0	per352
1	per353
1	per354
1	per355
0	per356
0	per357
1	per358
1	per359
1	per36
0	per360
1	per361
0	per362
1	per363
1	per364
0	per365
0	per366
0	per367
0	per368
1	per369
1	per37
1	per370
1	per371
1	per372
1	per373
1	per374
1	per375
1	per376
1	per377
1	per378
0	per379
1	per38
1	per380
0	per381
1	per382
0	per383
1	per384
1	per385
0	per386
0	per387
1	per388
0	per389
0	per39
0	per390
1	per391
0	per392
1	per393
0	per394
1	per395
0	per396
0	per397
1	per398
1	per399
1	per4
1	per40
1	per400
0	per401
0	per402
1	per403
0	per404
1	per405
0	per406
0	per407
1	per408
1	per409
0	per41
1	per410
1	per411
0	per412
1	per413
0	per414
1	per415
0	per416
1	per417
1	per418
0	per419
1	per42
1	per420
0	per421
1	per422
1	per423
1	per424
1	per425
1	per426
0	per427
0	per428
0	per429
1	per43
1	per430
1	per431
1	per432
0	per433
0	per434
0	per435
0	per436
1	per437
0	per438
1	per439
0	per44
1	per440
1	per441
0	per442
1	per443
0	per444
0	per445
0	per446
1	per447
1	per448
0	per449
1	per45
1	per450
0	per451
1	per452
1	per453
1	per454
1	per455
1	per456
0	per457
0	per458
0	per459
0	per46
1	per460
1	per461
1	per462
0	per463
0	per464
0	per465
0	per466
0	per467
0	per468
1	per469
1	per47
1	per470
1	per471
1	per472
1	per473
1	per474
0	per475
0	per476
1	per477
0	per478
0	per479
1	per48
0	per480
1	per481
1	per482
1	per483
0	per484
1	per485
0	per486
1	per487
1	per488
0	per489
0	per49
0	per490
0	per491
0	per492
0	per493
0	per494
0	per495
0	per496
0	per497
0	per498
0	per499
0	per5
0	per50
1	per500
1	per501
1	per502
1	per503
1	per504
0	per505
0	per506
0	per507
0	per508
1	per509
1	per51
1	per510
0	per511
1	per512
0	per513
0	per514
1	per515
0	per516
0	per517
1	per518
0	per519
1	per52
0	per520
0	per521
0	per522
0	per523
1	per524
0	per525
0	per526
0	per527
1	per528
0	per529
0	per53
1	per530
1	per531
0	per532
0	per533
0	per534
1	per535
1	per536
0	per537
1	per538
0	per539
0	per54
1	per540
1	per541
0	per542
0	per543
0	per544
0	per545
1	per546
1	per547
1	per548
1	per549
1	per55
0	per550
0	per551
1	per552
1	per553
0	per554
1	per555
1	per556
1	per557
0	per558
1	per559
1	per56
0	per560
0	per561
1	per562
1	per563
1	per564
0	per565
1	per566
1	per567
1	per568
1	per569
0	per57
1	per570
1	per571
0	per572
0	per573
0	per574
0	per575
1	per576
1	per577
0	per578
1	per579
0	per58
0	per580
0	per581
1	per582
0	per583
0	per584
1	per585
0	per586
1	per587
0	per588
1	per589
0	per59
0	per590
0	per591
1	per592
1	per593
1	per594
0	per595
0	per596
1	per597
0	per598
1	per599
0	per6
1	per60
0	per600
0	per601
1	per602
0	per603
0	per604
0	per605
1	per606
0	per607
1	per608
1	per609
0	per61
1	per610
0	per611
0	per612
0	per613
0	per614
0	per615
1	per616
1	per617
0	per618
1	per619
1	per62
1	per620
0	per621
0	per622
1	per623
0	per624
0	per625
0	per626
1	per627
1	per628
1	per629
1	per63
0	per630
0	per631
0	per632
1	per633
1	per634
1	per635
0	per636
1	per637
1	per638
1	per639
1	per64
0	per640
1	per641
0	per642
1	per643
1	per644
1	per645
1	per646
0	per647
0	per648
0	per649
1	per65
0	per650
0	per651
0	per652
0	per653
1	per654
0	per655
0	per656
1	per657
0	per658
1	per659
1	per66
1	per660
1	per661
0	per662
1	per663
1	per664
0	per665
0	per666
0	per667
1	per668
0	per669
1	per67
0	per670
1	per671
0	per672
0	per673
1	per674
0	per675
0	per676
0	per677
1	per678
0	per679
0	per68
0	per680
1	per681
0	per682
1	per683
0	per684
0	per685
0	per686
1	per687
1	per688
1	per689
0	per69
0	per690
0	per691
0	per692
0	per693
1	per694
1	per695
0	per696
1	per697
1	per698
1	per699
1	per7
1	per70
0	per700
0	per701
0	per702
0	per703
1	per704
0	per705
0	per706
1	per707
0	per708
1	per709
0	per71
1	per710
1	per711
1	per712
1	per713
1	per714
0	per715
0	per716
0	per717
1	per718
1	per719
1	per72
0	per720
1	per721
1	per722
0	per723
0	per724
1	per725
0	per726
0	per727
1	per728
1	per729
0	per73
0	per730
0	per731
0	per732
0	per733
1	per734
0	per735
0	per736
0	per737
0	per738
1	per739
0	per74
0	per740
0	per741
1	per742
1	per743
0	per744
0	per745
0	per746
0	per747
1	per748
1	per749
1	per75
0	per750
0	per751
1	per752
0	per753
0	per754
1	per755
1	per756
0	per757
0	per758
1	per759
0	per76
1	per760
0	per761
0	per762
0	per763
0	per764
1	per765
1	per766
1	per767
0	per768
1	per769
0	per77
0	per770
0	per771
1	per772
1	per773
0	per774
0	per775
0	per776
0	per777
0	per778
0	per779
1	per78
1	per780
0	per781
0	per782
1	per783
1	per784
0	per785
1	per786
1	per787
0	per788
0	per789
0	per79
1	per790
0	per791
0	per792
0	per793
0	per794
0	per795
0	per796
1	per797
0	per798
0	per799
0	per8
1	per80
0	per800
0	per801
1	per802
1	per803
1	per804
1	per805
1	per806
0	per807
0	per808
1	per809
1	per81
1	per810
1	per811
0	per812
0	per813
0	per814
1	per815
1	per816
1	per817
1	per818
0	per819
0	per82
1	per820
1	per821
1	per822
1	per823
1	per824
0	per825
1	per826
1	per827
0	per828
0	per829
1	per83
0	per830
0	per831
1	per832
1	per833
0	per834
0	per835
0	per836
1	per837
1	per838
0	per839
0	per84
0	per840
0	per841
0	per842
0	per843
0	per844
0	per845
1	per846
1	per847
0	per848
0	per849
1	per85
1	per850
1	per851
0	per852
0	per853
1	per854
1	per855
1	per856
0	per857
1	per858
0	per859
0	per86
1	per860
0	per861
1	per862
1	per863
1	per864
1	per865
0	per866
0	per867
0	per868
1	per869
0	per87
0	per870
1	per871
1	per872
1	per873
1	per874
0	per875
1	per876
1	per877
0	per878
1	per879
0	per88
0	per880
1	per881
1	per882
0	per883
0	per884
0	per885
0	per886
1	per887
1	per888
1	per889
1	per89
1	per890
1	per891
0	per892
0	per893
1	per894
1	per895
0	per896
1	per897
1	per898
0	per899
0	per9
0	per90
1	per900
0	per901
0	per902
0	per903
0	per904
0	per905
1	per906
0	per907
0	per908
0	per909
1	per91
1	per910
0	per911
1	per912
0	per913
1	per914
0	per915
0	per916
1	per917
0	per918
1	per919
1	per92
0	per920
0	per921
1	per922
0	per923
0	per924
1	per925
1	per926
0	per927
0	per928
1	per929
0	per93
0	per930
1	per931
0	per932
0	per933
1	per934
1	per935
1	per936
1	per937
0	per938
1	per939
0	per94
0	per940
0	per941
1	per942
1	per943
1	per944
1	per945
1	per946
0	per947
1	per948
1	per949
0	per95
1	per950
1	per951
1	per952
0	per953
1	per954
0	per955
0	per956
0	per957
1	per958
0	per959
1	per96
0	per960
1	per961
1	per962
1	per963
1	per964
0	per965
1	per966
1	per967
0	per968
0	per969
0	per97
1	per970
0	per971
1	per972
1	per973
1	per974
0	per975
0	per976
0	per977
1	per978
1	per979
1	per98
1	per980
1	per981
1	per982
0	per983
0	per984
0	per985
0	per986
0	per987
1	per988
0	per989
0	per99
0	per990
0	per991
0	per992
0	per993
0	per994
0	per995
0	per996
0	per997
1	per998
1	per999
